,casual,dteday,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,user_segment
0,0,2012-12-31,0,1581,20920,5,5,5,15,High-Value Users
1,1,2012-12-30,1,1082,27181,5,5,5,15,High-Value Users
2,2,2012-12-31,0,798,29764,5,5,5,15,High-Value Users
3,3,2012-12-31,0,697,38656,5,5,5,15,High-Value Users
4,4,2012-12-31,0,561,37314,5,5,5,15,High-Value Users
5,5,2012-12-30,1,509,38820,5,5,5,15,High-Value Users
6,6,2012-12-31,0,448,39289,5,5,5,15,High-Value Users
7,7,2012-12-31,0,405,39944,5,5,5,15,High-Value Users
8,8,2012-12-31,0,377,41477,5,5,5,15,High-Value Users
9,9,2012-12-31,0,348,43557,5,5,5,15,High-Value Users
10,10,2012-12-31,0,317,39355,5,5,5,15,High-Value Users
11,11,2012-12-31,0,315,46292,5,5,5,15,High-Value Users
12,12,2012-12-31,0,299,44538,5,5,5,15,High-Value Users
13,13,2012-12-31,0,258,41463,5,5,5,15,High-Value Users
14,14,2012-12-31,0,233,36968,5,5,5,15,High-Value Users
15,15,2012-12-28,3,225,38359,5,5,5,15,High-Value Users
16,16,2012-12-30,1,218,39369,5,5,5,15,High-Value Users
17,17,2012-12-28,3,219,40919,5,5,5,15,High-Value Users
18,18,2012-12-29,2,212,36174,5,5,5,15,High-Value Users
19,19,2012-12-29,2,206,38125,5,5,5,15,High-Value Users
20,20,2012-12-25,6,189,42433,5,5,5,15,High-Value Users
21,21,2012-12-24,7,173,35386,5,5,5,15,High-Value Users
22,22,2012-12-29,2,152,30269,5,5,5,15,High-Value Users
23,23,2012-12-27,4,151,30295,5,5,5,15,High-Value Users
24,24,2012-12-21,10,155,32939,5,5,5,15,High-Value Users
25,25,2012-12-27,4,158,34471,5,5,5,15,High-Value Users
26,26,2012-12-30,1,147,32834,5,5,5,15,High-Value Users
27,27,2012-12-03,28,193,42713,4,5,5,14,High-Value Users
28,28,2012-12-21,10,152,36724,5,5,5,15,High-Value Users
29,29,2012-12-22,9,147,33122,5,5,5,15,High-Value Users
30,30,2012-12-31,0,146,33211,5,5,5,15,High-Value Users
31,31,2012-12-30,1,164,41770,5,5,5,15,High-Value Users
32,32,2012-12-15,16,117,26929,4,5,5,14,High-Value Users
33,33,2012-12-31,0,155,38495,5,5,5,15,High-Value Users
34,34,2012-12-12,19,131,30861,4,5,5,14,High-Value Users
35,35,2012-12-15,16,107,25240,4,5,5,14,High-Value Users
36,36,2012-12-07,24,111,26535,4,5,5,14,High-Value Users
37,37,2012-12-30,1,111,25142,5,5,5,15,High-Value Users
38,38,2012-12-31,0,105,26336,5,5,5,15,High-Value Users
39,39,2012-12-30,1,105,26786,5,5,5,15,High-Value Users
40,40,2012-12-18,13,125,32154,5,5,5,15,High-Value Users
