,registered,dteday,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,user_segment,user_type,casual
0,0.0,2012-11-23,38,24,35,4,4,2,10,Medium-Value Users,registered,
1,1.0,2012-12-31,0,201,294,5,5,2,12,Medium-Value Users,registered,
2,2.0,2012-12-30,1,245,648,5,5,2,12,Medium-Value Users,registered,
3,3.0,2012-12-31,0,294,1154,5,5,2,12,Medium-Value Users,registered,
4,4.0,2012-12-28,3,307,1602,5,5,2,12,Medium-Value Users,registered,
5,5.0,2012-12-29,2,287,1840,5,5,3,13,High-Value Users,registered,
6,6.0,2012-12-25,6,266,1992,5,5,3,13,High-Value Users,registered,
7,7.0,2012-12-30,1,200,1787,5,5,3,13,High-Value Users,registered,
8,8.0,2012-12-31,0,190,1968,5,5,3,13,High-Value Users,registered,
9,9.0,2012-12-31,0,178,2057,5,5,3,13,High-Value Users,registered,
10,10.0,2012-12-27,4,133,1651,5,5,2,12,Medium-Value Users,registered,
11,11.0,2012-12-26,5,140,1927,5,5,3,13,High-Value Users,registered,
12,12.0,2012-12-24,7,90,1350,5,5,2,12,Medium-Value Users,registered,
13,13.0,2012-12-31,0,93,1487,5,5,2,12,Medium-Value Users,registered,
14,14.0,2012-12-30,1,101,1692,5,5,2,12,Medium-Value Users,registered,
15,15.0,2012-12-28,3,95,1692,5,5,2,12,Medium-Value Users,registered,
16,16.0,2012-12-25,6,92,1795,5,5,3,13,High-Value Users,registered,
17,17.0,2012-12-29,2,85,1751,5,5,3,13,High-Value Users,registered,
18,18.0,2012-12-29,2,80,1819,5,5,3,13,High-Value Users,registered,
19,19.0,2012-12-30,1,106,2433,5,5,3,13,High-Value Users,registered,
20,20.0,2012-12-26,5,95,2240,5,5,3,13,High-Value Users,registered,
21,21.0,2012-12-25,6,81,2084,5,5,3,13,High-Value Users,registered,
22,22.0,2012-12-28,3,105,2781,5,5,3,13,High-Value Users,registered,
23,23.0,2012-12-25,6,90,2551,5,5,3,13,High-Value Users,registered,
24,24.0,2012-12-27,4,83,2300,5,5,3,13,High-Value Users,registered,
25,25.0,2012-12-29,2,77,2317,5,5,3,13,High-Value Users,registered,
26,26.0,2012-12-26,5,83,2589,5,5,3,13,High-Value Users,registered,
27,27.0,2012-12-30,1,68,2151,5,5,3,13,High-Value Users,registered,
28,28.0,2012-11-22,39,73,2370,4,5,3,12,Medium-Value Users,registered,
29,29.0,2012-12-25,6,71,2416,5,5,3,13,High-Value Users,registered,
30,30.0,2012-12-31,0,75,2746,5,5,3,13,High-Value Users,registered,
31,31.0,2012-12-29,2,70,2540,5,5,3,13,High-Value Users,registered,
32,32.0,2012-12-30,1,63,2344,5,5,3,13,High-Value Users,registered,
33,33.0,2012-12-29,2,66,2629,5,5,3,13,High-Value Users,registered,
34,34.0,2012-12-25,6,65,2524,5,5,3,13,High-Value Users,registered,
35,35.0,2012-12-29,2,59,2382,5,5,3,13,High-Value Users,registered,
36,36.0,2012-12-26,5,57,2350,5,5,3,13,High-Value Users,registered,
37,37.0,2012-12-31,0,58,2560,5,5,3,13,High-Value Users,registered,
38,38.0,2012-12-29,2,54,2493,5,5,3,13,High-Value Users,registered,
39,39.0,2012-12-30,1,67,3073,5,5,3,13,High-Value Users,registered,
40,40.0,2012-12-31,0,59,2712,5,5,3,13,High-Value Users,registered,
41,41.0,2012-12-30,1,52,2641,5,5,3,13,High-Value Users,registered,
42,42.0,2012-12-30,1,51,2545,5,5,3,13,High-Value Users,registered,
43,43.0,2012-12-29,2,65,3358,5,5,3,13,High-Value Users,registered,
44,44.0,2012-12-02,29,48,2444,4,5,3,12,Medium-Value Users,registered,
45,45.0,2012-12-27,4,48,2593,5,5,3,13,High-Value Users,registered,
46,46.0,2012-12-25,6,56,3138,5,5,3,13,High-Value Users,registered,
47,47.0,2012-12-15,16,52,2883,4,5,3,12,Medium-Value Users,registered,
48,48.0,2012-12-31,0,68,3919,5,5,4,14,High-Value Users,registered,
49,49.0,2012-12-28,3,69,3936,5,5,4,14,High-Value Users,registered,
50,50.0,2012-11-21,40,58,3456,4,5,4,13,High-Value Users,registered,
51,51.0,2012-12-29,2,53,3291,5,5,3,13,High-Value Users,registered,
