,registered,dteday,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_score,user_segment
0,0,2012-11-23,38,24,35,4,4,2,10,Medium-Value Users
1,1,2012-12-31,0,201,294,5,5,2,12,Medium-Value Users
2,2,2012-12-30,1,245,648,5,5,2,12,Medium-Value Users
3,3,2012-12-31,0,294,1154,5,5,2,12,Medium-Value Users
4,4,2012-12-28,3,307,1602,5,5,2,12,Medium-Value Users
5,5,2012-12-29,2,287,1840,5,5,3,13,High-Value Users
6,6,2012-12-25,6,266,1992,5,5,3,13,High-Value Users
7,7,2012-12-30,1,200,1787,5,5,3,13,High-Value Users
8,8,2012-12-31,0,190,1968,5,5,3,13,High-Value Users
9,9,2012-12-31,0,178,2057,5,5,3,13,High-Value Users
10,10,2012-12-27,4,133,1651,5,5,2,12,Medium-Value Users
11,11,2012-12-26,5,140,1927,5,5,3,13,High-Value Users
12,12,2012-12-24,7,90,1350,5,5,2,12,Medium-Value Users
13,13,2012-12-31,0,93,1487,5,5,2,12,Medium-Value Users
14,14,2012-12-30,1,101,1692,5,5,2,12,Medium-Value Users
15,15,2012-12-28,3,95,1692,5,5,2,12,Medium-Value Users
16,16,2012-12-25,6,92,1795,5,5,3,13,High-Value Users
17,17,2012-12-29,2,85,1751,5,5,3,13,High-Value Users
18,18,2012-12-29,2,80,1819,5,5,3,13,High-Value Users
19,19,2012-12-30,1,106,2433,5,5,3,13,High-Value Users
20,20,2012-12-26,5,95,2240,5,5,3,13,High-Value Users
21,21,2012-12-25,6,81,2084,5,5,3,13,High-Value Users
22,22,2012-12-28,3,105,2781,5,5,3,13,High-Value Users
23,23,2012-12-25,6,90,2551,5,5,3,13,High-Value Users
24,24,2012-12-27,4,83,2300,5,5,3,13,High-Value Users
25,25,2012-12-29,2,77,2317,5,5,3,13,High-Value Users
26,26,2012-12-26,5,83,2589,5,5,3,13,High-Value Users
27,27,2012-12-30,1,68,2151,5,5,3,13,High-Value Users
28,28,2012-11-22,39,73,2370,4,5,3,12,Medium-Value Users
29,29,2012-12-25,6,71,2416,5,5,3,13,High-Value Users
30,30,2012-12-31,0,75,2746,5,5,3,13,High-Value Users
31,31,2012-12-29,2,70,2540,5,5,3,13,High-Value Users
32,32,2012-12-30,1,63,2344,5,5,3,13,High-Value Users
33,33,2012-12-29,2,66,2629,5,5,3,13,High-Value Users
34,34,2012-12-25,6,65,2524,5,5,3,13,High-Value Users
35,35,2012-12-29,2,59,2382,5,5,3,13,High-Value Users
36,36,2012-12-26,5,57,2350,5,5,3,13,High-Value Users
37,37,2012-12-31,0,58,2560,5,5,3,13,High-Value Users
38,38,2012-12-29,2,54,2493,5,5,3,13,High-Value Users
39,39,2012-12-30,1,67,3073,5,5,3,13,High-Value Users
40,40,2012-12-31,0,59,2712,5,5,3,13,High-Value Users
41,41,2012-12-30,1,52,2641,5,5,3,13,High-Value Users
42,42,2012-12-30,1,51,2545,5,5,3,13,High-Value Users
43,43,2012-12-29,2,65,3358,5,5,3,13,High-Value Users
44,44,2012-12-02,29,48,2444,4,5,3,12,Medium-Value Users
45,45,2012-12-27,4,48,2593,5,5,3,13,High-Value Users
46,46,2012-12-25,6,56,3138,5,5,3,13,High-Value Users
47,47,2012-12-15,16,52,2883,4,5,3,12,Medium-Value Users
48,48,2012-12-31,0,68,3919,5,5,4,14,High-Value Users
49,49,2012-12-28,3,69,3936,5,5,4,14,High-Value Users
50,50,2012-11-21,40,58,3456,4,5,4,13,High-Value Users
51,51,2012-12-29,2,53,3291,5,5,3,13,High-Value Users
52,52,2012-12-25,6,50,3131,5,5,3,13,High-Value Users
53,53,2012-12-23,8,71,4475,5,5,4,14,High-Value Users
54,54,2012-12-28,3,53,3485,5,5,4,14,High-Value Users
55,55,2012-12-22,9,60,3967,5,5,4,14,High-Value Users
56,56,2012-12-29,2,48,3282,5,5,3,13,High-Value Users
57,57,2012-12-21,10,51,3383,5,5,4,14,High-Value Users
58,58,2012-11-16,45,49,3401,4,5,4,13,High-Value Users
59,59,2012-11-27,34,53,3680,4,5,4,13,High-Value Users
60,60,2012-12-11,20,47,3305,4,5,3,12,Medium-Value Users
61,61,2012-10-28,64,52,3700,3,5,4,12,Medium-Value Users
62,62,2012-12-24,7,52,3874,5,5,4,14,High-Value Users
63,63,2012-12-30,1,48,3564,5,5,4,14,High-Value Users
64,64,2012-12-29,2,70,5511,5,5,4,14,High-Value Users
65,65,2012-12-30,1,48,3840,5,5,4,14,High-Value Users
66,66,2012-11-24,37,48,4005,4,5,4,13,High-Value Users
67,67,2012-12-27,4,49,3864,5,5,4,14,High-Value Users
68,68,2012-12-25,6,52,4249,5,5,4,14,High-Value Users
69,69,2012-12-05,26,43,3474,4,5,4,13,High-Value Users
70,70,2012-12-09,22,48,4051,4,5,4,13,High-Value Users
71,71,2012-12-29,2,56,4842,5,5,4,14,High-Value Users
72,72,2012-12-02,29,54,4585,4,5,4,13,High-Value Users
73,73,2012-11-28,33,51,4596,4,5,4,13,High-Value Users
74,74,2012-11-24,37,43,3797,4,5,4,13,High-Value Users
